n,F(n),iterative_ns,recursive_ns
3,2,517.0,723.0
20,6765,1752.0,5154.0
24,46368,2026.0,6897.0
3,2,529.0,727.0
23,28657,1945.0,5992.0
14,377,1250.0,3421.0
44,701408733,3479.0,11417.0
16,987,1408.0,3971.0
43,433494437,3403.0,11580.0
7,13,763.0,1803.0
23,28657,1820.0,5604.0
36,14930352,2896.0,9551.0
27,196418,2252.0,7463.0
40,102334155,5438.0,11271.0
10,55,1193.0,2469.0
16,987,1416.0,4094.0
11,89,1212.0,2675.0
12,144,1107.0,2919.0
27,196418,2228.0,6938.0
2,1,504.0,473.0
12,144,1102.0,3039.0
22,17711,1868.0,5524.0
27,196418,2390.0,6852.0
43,433494437,3536.0,12671.0
16,987,1451.0,4500.0
18,2584,1823.0,4647.0
11,89,1058.0,2997.0
45,1134903170,3660.0,11900.0
7,13,815.0,1731.0
25,75025,2335.0,6358.0
3,2,525.0,723.0
31,1346269,2678.0,7835.0
15,610,1487.0,3702.0
13,233,1168.0,3208.0
30,832040,2591.0,8798.0
23,28657,3525.0,9805.0
20,6765,2841.0,5365.0
15,610,1355.0,4330.0
15,610,1644.0,4473.0
2,1,476.0,480.0
43,433494437,3533.0,11148.0
13,233,1336.0,3160.0
26,121393,2213.0,6690.0
22,17711,1869.0,5689.0
18,2584,1565.0,4543.0
5,5,661.0,1230.0
18,2584,1561.0,4621.0
23,28657,1942.0,5929.0
42,267914296,3325.0,10785.0
33,3524578,2696.0,8562.0
26,121393,2338.0,6539.0
44,701408733,3634.0,11715.0
35,9227465,2814.0,9799.0
22,17711,1944.0,5894.0
2,1,456.0,484.0
8,21,1296.0,2363.0
17,1597,1740.0,5990.0
12,144,1270.0,3913.0
38,39088169,3580.0,9976.0
17,1597,1524.0,4576.0
3,2,533.0,739.0
7,13,817.0,1770.0
39,63245986,3190.0,10332.0
28,317811,2480.0,7094.0
23,28657,1949.0,5984.0
21,10946,1884.0,5465.0
28,317811,2320.0,7224.0
39,63245986,3129.0,10131.0
33,3524578,2750.0,8544.0
8,21,860.0,1966.0
25,75025,2272.0,6365.0
37,24157817,3155.0,9601.0
13,233,1172.0,3161.0
17,1597,1477.0,4413.0
3,2,522.0,723.0
28,317811,3689.0,13865.0
1,1,638.0,452.0
34,5702887,5089.0,15707.0
35,9227465,2896.0,9289.0
44,701408733,3648.0,11671.0
43,433494437,3457.0,11061.0
13,233,1186.0,3229.0
24,46368,2209.0,6051.0
28,317811,2479.0,7134.0
5,5,662.0,1227.0
43,433494437,3569.0,11053.0
22,17711,1868.0,5734.0
40,102334155,3206.0,10283.0
21,10946,1859.0,5436.0
43,433494437,3425.0,12588.0
8,21,888.0,2183.0
20,6765,1723.0,5067.0
33,3524578,3006.0,9487.0
20,6765,1910.0,5445.0
43,433494437,4131.0,12536.0
27,196418,2275.0,7247.0
21,10946,1969.0,5539.0
